paper,model,rater,score,source,category
hep-th/9912072,Base,CP,5,common,Base
hep-th/9912072,s1,CP,7,common,LoRA-all
hep-th/9912072,s2,CP,8,common,LoRA-all
hep-th/9912072,s3,CP,5,common,LoRA-all
hep-th/9912072,s4,CP,7,common,LoRA-all
hep-th/9912072,s5,CP,7,common,LoRA-all
hep-th/9912072,s6,CP,5,common,LoRA-all
hep-th/9912072,s7,CP,6,common,LoRA-all
hep-th/9912072,s8,CP,8,common,LoRA-all
hep-th/9912072,s9,CP,7,common,LoRA-all
hep-th/9912072,s10,CP,5,common,LoRA-all
hep-th/9912072,s1_qkv,CP,6,common,LoRA-QKV
hep-th/9912072,s2_qkv,CP,7,common,LoRA-QKV
hep-th/9912072,s3_qkv,CP,7,common,LoRA-QKV
hep-th/9912072,s4_qkv,CP,8,common,LoRA-QKV
hep-th/9912072,s5_qkv,CP,7,common,LoRA-QKV
hep-th/9912072,s6_qkv,CP,8,common,LoRA-QKV
hep-th/9912072,s7_qkv,CP,5,common,LoRA-QKV
hep-th/9912072,s8_qkv,CP,6,common,LoRA-QKV
hep-th/9912072,s9_qkv,CP,6,common,LoRA-QKV
hep-th/9912072,s10_qkv,CP,5,common,LoRA-QKV
hep-th/9912072,ChatGPT-4,CP,9,common,Commercial
hep-th/9912072,Claude,CP,9,common,Commercial
hep-th/9912072,Gemini,CP,8,common,Commercial
hep-th/9912072,DeepSeek,CP,8,common,Commercial
hep-th/9611050,Base,CP,4,common,Base
hep-th/9611050,s1,CP,5,common,LoRA-all
hep-th/9611050,s2,CP,6,common,LoRA-all
hep-th/9611050,s3,CP,7,common,LoRA-all
hep-th/9611050,s4,CP,7,common,LoRA-all
hep-th/9611050,s5,CP,7,common,LoRA-all
hep-th/9611050,s6,CP,7,common,LoRA-all
hep-th/9611050,s7,CP,6,common,LoRA-all
hep-th/9611050,s8,CP,5,common,LoRA-all
hep-th/9611050,s9,CP,4,common,LoRA-all
hep-th/9611050,s10,CP,4,common,LoRA-all
hep-th/9611050,s1_qkv,CP,8,common,LoRA-QKV
hep-th/9611050,s2_qkv,CP,5,common,LoRA-QKV
hep-th/9611050,s3_qkv,CP,9,common,LoRA-QKV
hep-th/9611050,s4_qkv,CP,6,common,LoRA-QKV
hep-th/9611050,s5_qkv,CP,6,common,LoRA-QKV
hep-th/9611050,s6_qkv,CP,8,common,LoRA-QKV
hep-th/9611050,s7_qkv,CP,8,common,LoRA-QKV
hep-th/9611050,s8_qkv,CP,8,common,LoRA-QKV
hep-th/9611050,s9_qkv,CP,9,common,LoRA-QKV
hep-th/9611050,s10_qkv,CP,5,common,LoRA-QKV
hep-th/9611050,ChatGPT-4,CP,9,common,Commercial
hep-th/9611050,Claude,CP,8,common,Commercial
hep-th/9611050,Gemini,CP,8,common,Commercial
hep-th/9611050,DeepSeek,CP,7,common,Commercial
hep-th/9911116,Base,CP,4,common,Base
hep-th/9911116,s1,CP,10,common,LoRA-all
hep-th/9911116,s2,CP,7,common,LoRA-all
hep-th/9911116,s3,CP,5,common,LoRA-all
hep-th/9911116,s4,CP,6,common,LoRA-all
hep-th/9911116,s5,CP,7,common,LoRA-all
hep-th/9911116,s6,CP,5,common,LoRA-all
hep-th/9911116,s7,CP,5,common,LoRA-all
hep-th/9911116,s8,CP,6,common,LoRA-all
hep-th/9911116,s9,CP,6,common,LoRA-all
hep-th/9911116,s10,CP,7,common,LoRA-all
hep-th/9911116,s1_qkv,CP,6,common,LoRA-QKV
hep-th/9911116,s2_qkv,CP,6,common,LoRA-QKV
hep-th/9911116,s3_qkv,CP,6,common,LoRA-QKV
hep-th/9911116,s4_qkv,CP,4,common,LoRA-QKV
hep-th/9911116,s5_qkv,CP,5,common,LoRA-QKV
hep-th/9911116,s6_qkv,CP,7,common,LoRA-QKV
hep-th/9911116,s7_qkv,CP,6,common,LoRA-QKV
hep-th/9911116,s8_qkv,CP,3,common,LoRA-QKV
hep-th/9911116,s9_qkv,CP,5,common,LoRA-QKV
hep-th/9911116,s10_qkv,CP,6,common,LoRA-QKV
1001.4779,Base,CP,4,individual,Base
1001.4779,s1,CP,8,individual,LoRA-all
1001.4779,s2,CP,3,individual,LoRA-all
1001.4779,s3,CP,7,individual,LoRA-all
1001.4779,s4,CP,6,individual,LoRA-all
1001.4779,s5,CP,3,individual,LoRA-all
1001.4779,s6,CP,8,individual,LoRA-all
1001.4779,s7,CP,7,individual,LoRA-all
1001.4779,s8,CP,6,individual,LoRA-all
1001.4779,s9,CP,5,individual,LoRA-all
1001.4779,s10,CP,5,individual,LoRA-all
1001.4779,s1_qkv,CP,6,individual,LoRA-QKV
1001.4779,s2_qkv,CP,5,individual,LoRA-QKV
1001.4779,s3_qkv,CP,7,individual,LoRA-QKV
1001.4779,s4_qkv,CP,5,individual,LoRA-QKV
1001.4779,s5_qkv,CP,8,individual,LoRA-QKV
1001.4779,s6_qkv,CP,8,individual,LoRA-QKV
1001.4779,s7_qkv,CP,5,individual,LoRA-QKV
1001.4779,s8_qkv,CP,5,individual,LoRA-QKV
1001.4779,s9_qkv,CP,6,individual,LoRA-QKV
1001.4779,s10_qkv,CP,6,individual,LoRA-QKV
1001.4779,ChatGPT-4,CP,6,individual,Commercial
1001.4779,Claude,CP,7,individual,Commercial
1001.4779,Gemini,CP,6,individual,Commercial
1001.4779,DeepSeek,CP,6,individual,Commercial
1012.2882,Base,CP,2,individual,Base
1012.2882,s1,CP,8,individual,LoRA-all
1012.2882,s2,CP,5,individual,LoRA-all
1012.2882,s3,CP,5,individual,LoRA-all
1012.2882,s4,CP,6,individual,LoRA-all
1012.2882,s5,CP,5,individual,LoRA-all
1012.2882,s6,CP,4,individual,LoRA-all
1012.2882,s7,CP,6,individual,LoRA-all
1012.2882,s8,CP,6,individual,LoRA-all
1012.2882,s9,CP,6,individual,LoRA-all
1012.2882,s10,CP,7,individual,LoRA-all
1012.2882,s1_qkv,CP,6,individual,LoRA-QKV
1012.2882,s2_qkv,CP,4,individual,LoRA-QKV
1012.2882,s3_qkv,CP,5,individual,LoRA-QKV
1012.2882,s4_qkv,CP,6,individual,LoRA-QKV
1012.2882,s5_qkv,CP,8,individual,LoRA-QKV
1012.2882,s6_qkv,CP,8,individual,LoRA-QKV
1012.2882,s7_qkv,CP,6,individual,LoRA-QKV
1012.2882,s8_qkv,CP,4,individual,LoRA-QKV
1012.2882,s9_qkv,CP,7,individual,LoRA-QKV
1012.2882,s10_qkv,CP,6,individual,LoRA-QKV
1012.2882,ChatGPT-4,CP,10,individual,Commercial
1012.2882,Claude,CP,10,individual,Commercial
1012.2882,Gemini,CP,6,individual,Commercial
1012.2882,DeepSeek,CP,7,individual,Commercial
2108.08859,Base,CP,2,individual,Base
2108.08859,s1,CP,7,individual,LoRA-all
2108.08859,s2,CP,6,individual,LoRA-all
2108.08859,s3,CP,9,individual,LoRA-all
2108.08859,s4,CP,8,individual,LoRA-all
2108.08859,s5,CP,6,individual,LoRA-all
2108.08859,s6,CP,7,individual,LoRA-all
2108.08859,s7,CP,9,individual,LoRA-all
2108.08859,s8,CP,9,individual,LoRA-all
2108.08859,s9,CP,9,individual,LoRA-all
2108.08859,s10,CP,7,individual,LoRA-all
2108.08859,s1_qkv,CP,9,individual,LoRA-QKV
2108.08859,s2_qkv,CP,6,individual,LoRA-QKV
2108.08859,s3_qkv,CP,8,individual,LoRA-QKV
2108.08859,s4_qkv,CP,8,individual,LoRA-QKV
2108.08859,s5_qkv,CP,7,individual,LoRA-QKV
2108.08859,s6_qkv,CP,8,individual,LoRA-QKV
2108.08859,s7_qkv,CP,9,individual,LoRA-QKV
2108.08859,s8_qkv,CP,4,individual,LoRA-QKV
2108.08859,s9_qkv,CP,9,individual,LoRA-QKV
2108.08859,s10_qkv,CP,6,individual,LoRA-QKV
2108.08859,ChatGPT-4,CP,10,individual,Commercial
2108.08859,Claude,CP,10,individual,Commercial
2108.08859,Gemini,CP,8,individual,Commercial
2108.08859,DeepSeek,CP,9,individual,Commercial
1411.6026,Base,CP,5,individual,Base
1411.6026,s1,CP,6,individual,LoRA-all
1411.6026,s2,CP,9,individual,LoRA-all
1411.6026,s3,CP,9,individual,LoRA-all
1411.6026,s4,CP,8,individual,LoRA-all
1411.6026,s5,CP,7,individual,LoRA-all
1411.6026,s6,CP,5,individual,LoRA-all
1411.6026,s7,CP,6,individual,LoRA-all
1411.6026,s8,CP,5,individual,LoRA-all
1411.6026,s9,CP,7,individual,LoRA-all
1411.6026,s10,CP,9,individual,LoRA-all
1411.6026,s1_qkv,CP,6,individual,LoRA-QKV
1411.6026,s2_qkv,CP,6,individual,LoRA-QKV
1411.6026,s3_qkv,CP,6,individual,LoRA-QKV
1411.6026,s4_qkv,CP,8,individual,LoRA-QKV
1411.6026,s5_qkv,CP,5,individual,LoRA-QKV
1411.6026,s6_qkv,CP,6,individual,LoRA-QKV
1411.6026,s7_qkv,CP,5,individual,LoRA-QKV
1411.6026,s8_qkv,CP,6,individual,LoRA-QKV
